edudel_code,DISTNAME,PINCODE,SCHOOL_CODE,SCHOOL_NAME,VILLAGE_NAME,lat,lng,most_urgent,ac_year,students,students_1t5,students_6t12,students_10,students_12,teachers,student_teacher_ratio,transition_9to10,transition_11to12,splitcheck,new_teacher
1412288,NORTH WEST DELHI,110086,7010103803,"Govt. Boys Sr. Sec. School, Block-P, Sultan Puri, Delhi",038-MANGOLPURI NORTH,28.692372,77.067557,TRUE,2015-16,1108,0,1108,102,97,9,123.1111111,#N/A,#N/A,#N/A,2
1105107,NORTH EAST DELHI,110053,7030125405,"Govt. Boys Sr. Sec. School, Gautam Puri (New Usmanpur), Delhi",254-BRAHAMPURI,28.68179521,77.26203334,TRUE,2015-16,1578,0,1578,83,107,17,92.82352941,0.289198606,0.87704918,FALSE,2
1412254,NORTH WEST DELHI,110081,7010103302,"Govt. Boys Sr. Sec. School No.2, Mubarakpur Dabas Delhi",033-PRATAP VIHAR,28.71210563,77.04112001,TRUE,2015-16,1586,0,1586,122,26,25,63.44,0.7625,0.8125,FALSE,3
1925403,SOUTH DELHI,110076,7090120704,"Govt. Boys Sr. Sec. School , Madanpur Khadar New Delhi",207-MADANPUR KHADAR,28.5354383,77.2639326,TRUE,2015-16,1067,0,1067,127,0,17,62.76470588,#N/A,#N/A,#N/A,2
1309280,NORTH WEST DELHI,110042,7010101603,"Govt. Co-ed. Middle School, Bhalswa Village, Delhi",016-JAHANGIRPURI - I,28.735011,77.1636148,TRUE,2015-16,1245,0,1245,0,0,20,62.25,NA,NA,FALSE,3
1923357,SOUTH DELHI,110062,7090118602,"Govt. Sarvodaya Bal Vidyalaya, J-Block, Sangam Vihar, New Delhi",186-SANGAM VIHAR (WEST),28.49296319,77.24177556,TRUE,2015-16,2290,43,2247,190,0,38,60.26315789,0.788381743,NA,FALSE,3
1104143,NORTH EAST DELHI,110094,7030127101,"Govt. Boys Sr. Sec. School, Karawal Nagar, Delhi",271-KARAWAL NAGAR (WEST),28.73325412,77.26551034,TRUE,2015-16,4866,0,4866,796,551,84,57.92857143,0.728937729,0.697468354,FALSE,5
1106259,NORTH EAST DELHI,110093,7030126404,"Govt. Girls Sr. Sec. School, Mandoli Extension, Delhi",264-HARSH VIHAR,28.70147145,77.31589912,TRUE,2015-16,2712,0,2712,308,456,47,57.70212766,0.853185596,0.776831346,FALSE,0
1104262,NORTH EAST DELHI,110094,7030127002,"Govt. Girls Sr. Sec. School, Tukhmirpur, Delhi",270-TUKHMIRPUR,28.71051122,77.26396487,TRUE,2015-16,2720,0,2720,359,251,48,56.66666667,0.789010989,0.871527778,FALSE,9
1923346,SOUTH DELHI,110062,7090118601,"Govt. Sarvodaya Kanya Vidyalaya , J-Block, Sangam Vihar, New Delhi",186-SANGAM VIHAR (WEST),28.50111431,77.23432502,TRUE,2015-16,3213,373,2840,147,0,57,56.36842105,0.844827586,NA,FALSE,2
1106265,NORTH EAST DELHI,110093,7030126406,"Govt. Boys Sr. Sec. School, Mandoli Extension, Delhi",264-HARSH VIHAR,28.70147081,77.31593701,TRUE,2015-16,2020,0,2020,286,289,36,56.11111111,0.826589595,0.905956113,FALSE,2
1106264,NORTH EAST DELHI,110093,7030126405,"Govt. Co-ed. Sr. Sec. School, Sunder Nagari, Delhi",264-HARSH VIHAR,28.69398604,77.32169605,TRUE,2015-16,3295,0,3295,239,188,60,54.91666667,0.773462783,0.620462046,FALSE,1
1104008,NORTH EAST DELHI,110053,7030125609,"Govt. Boys Sr. Sec. School No.2, Yamuna Vihar, C-Block, Delhi",256-YAMUNA VIHAR,28.70037397,77.2768138,FALSE,2015-16,3768,0,3768,354,299,69,54.60869565,0.428053204,0.433962264,FALSE,1
1413320,NORTH WEST DELHI,110085,7010102106,"Govt. Co-ed. Middle School, Sect-15, Pkt-F&G, Rohini, Delhi",021-ROHINI,NA,NA,FALSE,2015-16,381,0,381,0,0,7,54.42857143,NA,NA,FALSE,0
1104419,NORTH EAST DELHI,110094,7030126701,"Govt. Girls Sr. Sec. School No.2, Tukhmirpur, Delhi",267-NEHRU VIHAR,28.699877,77.270506,TRUE,2015-16,3637,0,3637,400,554,67,54.28358209,0.796812749,0.85625966,FALSE,11
1310408,NORTH WEST DELHI,110040,7010100103,"Govt. Sarvodaya Vidyalaya, Sect. B-4, Narela, Delhi",001-NARELA,28.85825695,77.08528283,FALSE,2015-16,976,201,775,110,0,18,54.22222222,0.93220339,NA,FALSE,1
1925401,SOUTH DELHI,110044,7090120408,"Govt. Girls Sr. Sec. School No.1, Molar Band, New Delhi",204-MOLARBAND,28.5053722,77.3116222,TRUE,2015-16,3616,0,3616,431,503,69,52.4057971,#N/A,#N/A,#N/A,0
1310414,NORTH WEST DELHI,110039,7010102805,"Govt. Girls Sr. Sec. School No.1, Bawana J. J. Colony , Delhi",028-BAWANA,28.80789911,77.05146307,TRUE,2015-16,2905,0,2905,349,113,56,51.875,1.026470588,0.474789916,FALSE,5
