"State_Name","Year","month","Assembly_No","DelimID","Constituency_No","Poll_No","Position","Candidate","Sex","Party","Votes","Age","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","District_Name","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin_Percentage","ENOP"
"Andhra_Pradesh",2014,5,14,4,1,0,1,"KONERU KONAPPA","M","BSP",49033,58,"GEN",151288,190962,"SIRPUR","GEN","ADILABAD","TELANGANA",11,79.22,32.41,"no",5.84,4.35
"Andhra_Pradesh",2014,5,14,4,1,0,2,"KAVETI SAMMAIAH","M","TRS",40196,57,"GEN",151288,190962,"SIRPUR","GEN","ADILABAD","TELANGANA",11,79.22,26.57,"no",8.75,4.35
"Andhra_Pradesh",2014,5,14,4,1,0,3,"KOKKIRALA PREM SAGAR RAO","M","INC",26955,50,"GEN",151288,190962,"SIRPUR","GEN","ADILABAD","TELANGANA",11,79.22,17.82,"no",5.02,4.35
"Andhra_Pradesh",2014,5,14,4,1,0,4,"RAAVI SRINIVAS RAO","M","TDP",19359,40,"GEN",151288,190962,"SIRPUR","GEN","ADILABAD","TELANGANA",11,79.22,12.8,"yes",9.71,4.35
"Andhra_Pradesh",2014,5,14,4,1,0,5,"M.D RAZI HYDER.","M","MASP",4675,59,"GEN",151288,190962,"SIRPUR","GEN","ADILABAD","TELANGANA",11,79.22,3.09,"yes",0.6,4.35
"Andhra_Pradesh",2014,5,14,4,1,0,6,"MOHAMMAD JABBAR KHAN.","M","IND",3769,50,"GEN",151288,190962,"SIRPUR","GEN","ADILABAD","TELANGANA",11,79.22,2.49,"yes",1.33,4.35
"Andhra_Pradesh",2014,5,14,4,1,0,7,"None of the Above","","NOTA",1756,NA,"",151288,190962,"SIRPUR","GEN","ADILABAD","TELANGANA",11,79.22,1.16,"yes",0.09,4.35
"Andhra_Pradesh",2014,5,14,4,1,0,8,"DURGAM. SHYAM RAO","M","IND",1614,57,"SC",151288,190962,"SIRPUR","GEN","ADILABAD","TELANGANA",11,79.22,1.07,"yes",0.23,4.35
"Andhra_Pradesh",2014,5,14,4,1,0,9,"MURALI KRISHNA.R.","M","IND",1263,38,"GEN",151288,190962,"SIRPUR","GEN","ADILABAD","TELANGANA",11,79.22,0.83,"yes",0.22,4.35
"Andhra_Pradesh",2014,5,14,4,1,0,10,"M.RAMCHANDER","M","IND",933,54,"SC",151288,190962,"SIRPUR","GEN","ADILABAD","TELANGANA",11,79.22,0.62,"yes",0.01,4.35
"Andhra_Pradesh",2014,5,14,4,1,0,11,"LENDUGURE MENGAJI PATEL","M","BCUF",923,62,"GEN",151288,190962,"SIRPUR","GEN","ADILABAD","TELANGANA",11,79.22,0.61,"yes",0.07,4.35
"Andhra_Pradesh",2014,5,14,4,1,0,12,"SHABBIR HUSSAIN","M","YSRCP",812,38,"GEN",151288,190962,"SIRPUR","GEN","ADILABAD","TELANGANA",11,79.22,0.54,"yes",0,4.35
"Andhra_Pradesh",2014,5,14,4,2,0,1,"NALLALA ODELU","M","TRS",64867,50,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,50.79,"no",20.49,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,2,"GADDAM VINOD","M","INC",38703,57,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,30.3,"no",24.13,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,3,"RAM VENU","M","BJP",7879,39,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,6.17,"yes",1.7,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,4,"SOGALA SANJEEV","M","RP(K)",5711,34,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,4.47,"yes",3.21,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,5,"None of the Above","","NOTA",1616,NA,"",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,1.27,"yes",0.01,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,6,"THUNGAPINDI RAMESH","M","BSP",1607,34,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,1.26,"yes",0.15,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,7,"SEGGAM RAJESHWAR","M","IND",1415,44,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,1.11,"yes",0.27,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,8,"MEDAPAKA SATHISH","M","IND",1069,29,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,0.84,"yes",0,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,9,"THOGARI BANESH","M","IND",1064,39,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,0.83,"yes",0.17,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,10,"MEKALA PRAMEELA","F","YSRCP",843,47,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,0.66,"yes",0.21,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,11,"ANDUGULA SRINIVAS","M","IND",571,42,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,0.45,"yes",0,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,12,"MOYYA RAMBABU","M","IND",568,45,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,0.44,"yes",0.03,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,13,"RODDA MOHAN","M","AAAP",536,33,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,0.42,"yes",0.03,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,14,"ELPULA SRINIVAS","M","RLD",500,37,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,0.39,"yes",0.08,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,15,"RAMAGIRI VIKRAM SINGH","M","NIP",404,27,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,0.32,"yes",0.03,2.86
"Andhra_Pradesh",2014,5,14,4,2,0,16,"BIRUDULA PRADEEP","M","IND",368,29,"SC",127721,174748,"CHENNU","SC","ADILABAD","TELANGANA",15,73.09,0.29,"yes",0,2.86
"Andhra_Pradesh",2014,5,14,4,3,0,1,"DURGAM CHINNAIAH","M","TRS",73779,43,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,61.76,"no",43.97,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,2,"GUNDA MALLESH","M","CPI",21251,67,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,17.79,"no",10.12,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,3,"PATI SUBHADRA","F","TDP",9167,59,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,7.67,"yes",5.46,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,4,"BADIKELA SAMPATH KUMAR","M","IND",2648,51,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,2.22,"yes",0.59,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,5,"JADI SHANKARAIAH","M","IND",1940,41,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,1.62,"yes",0.46,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,6,"SABBANI KRISHNA","M","MCPI",1390,51,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,1.16,"yes",0.01,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,7,"ERUKALA RAJ KIRAN","M","YSRCP",1377,35,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,1.15,"yes",0.1,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,8,"CHILUMULA SHANKAR","M","IND",1257,49,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,1.05,"yes",0.4,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,9,"None of the Above","","NOTA",781,NA,"",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,0.65,"yes",0.13,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,10,"DANDU RAVINDER","M","LSP",631,45,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,0.53,"yes",0.01,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,11,"MADDALA SRINIVAS","M","IND",618,33,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,0.52,"yes",0.06,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,12,"GADDALA HYMAVATHI","F","IND",545,32,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,0.46,"yes",0.02,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,13,"MEKALA VENKATESHAM","M","IND",518,44,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,0.43,"yes",0,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,14,"NEERLA PADMA","F","IND",517,34,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,0.43,"yes",0,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,15,"DUBASI PRABHAKAR","M","IND",516,29,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,0.43,"yes",0.01,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,16,"AMBALA MAHENDAR","M","IND",503,43,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,0.42,"yes",0.06,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,17,"GANDHAM SHANKAR","M","IND",436,48,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,0.36,"yes",0.04,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,18,"BANDARI SRINIVAS","M","AAAP",385,27,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,0.32,"yes",0.02,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,19,"BATHULA MADHU","M","AIFB",366,35,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,0.31,"yes",0.01,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,20,"MOGURAM KANNAIAH","M","IND",359,42,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,0.3,"yes",0.03,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,21,"RAJALINGU CHIPPAKURTHI","M","IND",320,28,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,0.27,"yes",0.14,2.33
"Andhra_Pradesh",2014,5,14,4,3,0,22,"RATHNAM SRIKANTH","M","IND",150,27,"SC",119454,160990,"BELLAMPALL","SC","ADILABAD","TELANGANA",21,74.2,0.13,"yes",0,2.33
"Andhra_Pradesh",2014,5,14,4,4,0,1,"DIWAKAR RAO NADIPELLI","M","TRS",95171,61,"GEN",154453,238486,"MANCHERIAL","GEN","ADILABAD","TELANGANA",13,64.76,61.62,"no",38.36,2.27
"Andhra_Pradesh",2014,5,14,4,4,0,2,"GADDAM ARAVINDA REDDY","M","INC",35921,57,"GEN",154453,238486,"MANCHERIAL","GEN","ADILABAD","TELANGANA",13,64.76,23.26,"no",15.76,2.27
"Andhra_Pradesh",2014,5,14,4,4,0,3,"MULKALA MALLAREDDY","M","BJP",11584,46,"GEN",154453,238486,"MANCHERIAL","GEN","ADILABAD","TELANGANA",13,64.76,7.5,"yes",4.19,2.27
"Andhra_Pradesh",2014,5,14,4,4,0,4,"AZMEERA LALKUMAR","M","IND",5110,36,"ST",154453,238486,"MANCHERIAL","GEN","ADILABAD","TELANGANA",13,64.76,3.31,"yes",2.35,2.27
"Andhra_Pradesh",2014,5,14,4,4,0,5,"None of the Above","","NOTA",1482,NA,"",154453,238486,"MANCHERIAL","GEN","ADILABAD","TELANGANA",13,64.76,0.96,"yes",0.18,2.27
"Andhra_Pradesh",2014,5,14,4,4,0,6,"MITTAPALLI KIRAN KUMAR","M","PJDL",1206,28,"SC",154453,238486,"MANCHERIAL","GEN","ADILABAD","TELANGANA",13,64.76,0.78,"yes",0.15,2.27
"Andhra_Pradesh",2014,5,14,4,4,0,7,"VEMULA KIRAN","M","BSP",970,30,"GEN",154453,238486,"MANCHERIAL","GEN","ADILABAD","TELANGANA",13,64.76,0.63,"yes",0.1,2.27
"Andhra_Pradesh",2014,5,14,4,4,0,8,"SYED AFZALUDDIN","M","YSRCP",813,37,"GEN",154453,238486,"MANCHERIAL","GEN","ADILABAD","TELANGANA",13,64.76,0.53,"yes",0.21,2.27
"Andhra_Pradesh",2014,5,14,4,4,0,9,"BAKAM MALLESH","M","IND",482,34,"GEN",154453,238486,"MANCHERIAL","GEN","ADILABAD","TELANGANA",13,64.76,0.31,"yes",0.08,2.27
"Andhra_Pradesh",2014,5,14,4,4,0,10,"NAINALA VENKATESHWARLU","M","IND",359,41,"GEN",154453,238486,"MANCHERIAL","GEN","ADILABAD","TELANGANA",13,64.76,0.23,"yes",0,2.27
"Andhra_Pradesh",2014,5,14,4,4,0,11,"MD.CHAND PASHA","M","IND",354,46,"GEN",154453,238486,"MANCHERIAL","GEN","ADILABAD","TELANGANA",13,64.76,0.23,"yes",0.01,2.27
"Andhra_Pradesh",2014,5,14,4,4,0,12,"RAVIKANTI DASHARATHAM","M","IND",345,56,"GEN",154453,238486,"MANCHERIAL","GEN","ADILABAD","TELANGANA",13,64.76,0.22,"yes",0.01,2.27
"Andhra_Pradesh",2014,5,14,4,4,0,13,"SHAIK MOHAMED","M","IND",336,46,"GEN",154453,238486,"MANCHERIAL","GEN","ADILABAD","TELANGANA",13,64.76,0.22,"yes",0.01,2.27
"Andhra_Pradesh",2014,5,14,4,4,0,14,"RANGU MALLESHAM","M","AIFB",320,44,"GEN",154453,238486,"MANCHERIAL","GEN","ADILABAD","TELANGANA",13,64.76,0.21,"yes",0,2.27
"Andhra_Pradesh",2014,5,14,4,5,0,1,"KOVA LAXMI","F","TRS",59094,45,"ST",146438,190257,"ASIFABA","ST","ADILABAD","TELANGANA",8,76.97,40.35,"no",13.01,3.85
"Andhra_Pradesh",2014,5,14,4,5,0,2,"ATRAM SAKKU","M","INC",40039,42,"ST",146438,190257,"ASIFABA","ST","ADILABAD","TELANGANA",8,76.97,27.34,"no",9.97,3.85
"Andhra_Pradesh",2014,5,14,4,5,0,3,"MARSUKOLA SARSWATHI","F","TDP",25439,42,"ST",146438,190257,"ASIFABA","ST","ADILABAD","TELANGANA",8,76.97,17.37,"no",12.09,3.85
"Andhra_Pradesh",2014,5,14,4,5,0,4,"KOTNAKA VIJAY KUMAR","M","MASP",7735,44,"ST",146438,190257,"ASIFABA","ST","ADILABAD","TELANGANA",8,76.97,5.28,"yes",2.15,3.85
"Andhra_Pradesh",2014,5,14,4,5,0,5,"ADE LEELARANI","F","IND",4592,47,"ST",146438,190257,"ASIFABA","ST","ADILABAD","TELANGANA",8,76.97,3.14,"yes",0.39,3.85
"Andhra_Pradesh",2014,5,14,4,5,0,6,"KANAKA RAMBABAI","F","BSP",4022,56,"ST",146438,190257,"ASIFABA","ST","ADILABAD","TELANGANA",8,76.97,2.75,"yes",0.81,3.85
"Andhra_Pradesh",2014,5,14,4,5,0,7,"None of the Above","","NOTA",2833,NA,"",146438,190257,"ASIFABA","ST","ADILABAD","TELANGANA",8,76.97,1.93,"yes",1,3.85
"Andhra_Pradesh",2014,5,14,4,5,0,8,"PENDRAM GOPI","M","IND",1370,48,"ST",146438,190257,"ASIFABA","ST","ADILABAD","TELANGANA",8,76.97,0.94,"yes",0.04,3.85
"Andhra_Pradesh",2014,5,14,4,5,0,9,"SIDAM ARJU","M","GGP",1314,62,"ST",146438,190257,"ASIFABA","ST","ADILABAD","TELANGANA",8,76.97,0.9,"yes",0,3.85
"Andhra_Pradesh",2014,5,14,4,6,0,1,"AJMEERA REKHA","F","TRS",67442,39,"ST",136717,186545,"KHANAPU","ST","ADILABAD","TELANGANA",6,73.29,49.33,"no",28.17,3.03
"Andhra_Pradesh",2014,5,14,4,6,0,2,"RATHOD RITESH","M","TDP",28931,29,"ST",136717,186545,"KHANAPU","ST","ADILABAD","TELANGANA",6,73.29,21.16,"no",2.08,3.03
